今日电影排行榜
 排名  	　　　电影名称　　　	搜索指数 
  1  	　　　　顶楼　　　　	8317 
  2  	　　　哥斯拉　　　　	8118 
  3  	　　　　咸鱼　　　　	4153 
  4  	　　唐人街探案3　　	4072 
  5  	　　　第十一回　　　	3901 
  6  	　送你一朵小红花　　	3822 
  7  	　　　正义联盟　　　	3033 
  8  	　　刺杀小说家　　　	2954 
  9  	　　　　金刚　　　　	2641 
 10  	　　　阿凡达　　　　	2161 
 11  	　　　人潮汹涌　　　	1939 
 12  	　　　钢铁侠3　　　	1910 
 13  	　　　　菜鸟　　　　	1881 
 14  	　　谁都有秘密　　　	1860 
 15  	　　　　银魂　　　　	1721 
 16  	环太平洋：雷霆再起　	1655 
 17  	　　　遵义会议　　　	1646 
 18  	　　　　雷神　　　　	1626 
 19  	　　　古田会议　　　	1520 
 20  	　　明天会好的　　　	1492 
 21  	　　　　小丑　　　　	1453 
 22  	　　　盗墓笔记　　　	1448 
 23  	　　　心灵奇旅　　　	1431 
 24  	　　　建党伟业　　　	1421 
 25  	　　我和我的家乡　　	1399 
 26  	复仇者联盟4：终局之战	1395 
 27  	复仇者联盟3：无限战争	1342 
 28  	　　星球大战8　　　	1340 
 29  	　　　　三体　　　　	1319 
 30  	　　　让子弹飞　　　	1311 
 31  	致我们终将逝去的青春	1271 
 32  	　　　南昌起义　　　	1218 
 33  	　西游记之大圣归来　	1215 
 34  	　熊出没・狂野大陆　	1209 
 35  	　　　阿凡达2　　　	1192 
 36  	速度与激情：特别行动	1164 
 37  	　　　霸王别姬　　　	1163 
 38  	　　富春山居图　　　	1163 
 39  	　　我和我的祖国　　	1132 
 40  	　　　晴雅集　　　　	1124 
 41  	　　　大话西游　　　	1115 
 42  	　　　倩女幽魂　　　	1086 
 43  	　　　　海王　　　　	1083 
 44  	　　　斗地主　　　　	1082 
 45  	　　　无法忍受　　　	1070 
 46  	　　　千与千寻　　　	1067 
 47  	　　唐人街探案2　　	1062 
 48  	　　　十二生肖　　　	1040 
 49  	　　唐人街探案　　　	1027 
 50  	　冰封：重生之门　　	1008 
今日爱情电影排行榜
 排名  	　　　电影名称　　　	搜索指数 
  1  	　　明天会好的　　　	1492 
  2  	致我们终将逝去的青春	1271 
  3  	　　　霸王别姬　　　	1163 
  4  	　　　倩女幽魂　　　	1086 
  5  	　　　无法忍受　　　	1070 
  6  	　　温暖的抱抱　　　	 988 
  7  	　　　洛丽塔　　　　	 970 
  8  	　　爱在星空下　　　	 965 
  9  	　　　　大鱼　　　　	 964 
 10  	　　　　剑雨　　　　	 963 
 11  	　　傲慢与偏见　　　	 960 
 12  	　　　　神话　　　　	 955 
 13  	　西西里的美丽传说　	 950 
 14  	　哈尔的移动城堡　　	 949 
 15  	　　　白鹿原　　　　	 948 
 16  	　　　白夜行　　　　	 940 
 17  	　　　重庆森林　　　	 932 
 18  	　　放牛班的春天　　	 917 
 19  	　　海上钢琴师　　　	 905 
 20  	　　　　怪兽　　　　	 901 
 21  	　　不能说的秘密　　	 900 
 22  	　　　　闰年　　　　	 897 
 23  	　　　小妇人　　　　	 897 
 24  	　　　　芳华　　　　	 890 
 25  	　　　无问西东　　　	 890 
 26  	　　　两小无猜　　　	 883 
 27  	　　　美丽人生　　　	 880 
 28  	　　　　洛奇　　　　	 867 
 29  	　　　你的婚礼　　　	 865 
 30  	　　　鸿门宴　　　　	 864 
 31  	　　　异度空间　　　	 858 
 32  	　　　海阔天空　　　	 854 
 33  	　　　　沉香　　　　	 853 
 34  	　　　罗马假日　　　	 846 
 35  	　　　阿飞正传　　　	 846 
 36  	　　　　情人　　　　	 844 
 37  	　　　设计师　　　　	 836 
